Tool,ChatGPT,Ada Health,Buoy Health,WebMD,Mayo Clinic,MedlinePlus,NHS 111,Cleveland Clinic,Healthline,K Health,Symptoma,Teladoc,Zocdoc
ChatGPT,1.0000000000000002,0.6666666666666669,0.6666666666666669,0.408248290463863,0.6666666666666669,0.5773502691896258,0.408248290463863,0.408248290463863,0.5773502691896258,0.7745966692414835,0.6666666666666669,0.408248290463863,0.408248290463863
Ada Health,0.6666666666666669,1.0000000000000002,1.0000000000000002,0.408248290463863,0.6666666666666669,0.0,0.816496580927726,0.408248290463863,0.0,0.7745966692414835,1.0000000000000002,0.408248290463863,0.408248290463863
Buoy Health,0.6666666666666669,1.0000000000000002,1.0000000000000002,0.408248290463863,0.6666666666666669,0.0,0.816496580927726,0.408248290463863,0.0,0.7745966692414835,1.0000000000000002,0.408248290463863,0.408248290463863
WebMD,0.408248290463863,0.408248290463863,0.408248290463863,0.9999999999999998,0.816496580927726,0.7071067811865475,0.4999999999999999,0.9999999999999998,0.7071067811865475,0.6324555320336758,0.408248290463863,0.0,0.0
Mayo Clinic,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.816496580927726,1.0000000000000002,0.5773502691896258,0.816496580927726,0.816496580927726,0.5773502691896258,0.7745966692414835,0.6666666666666669,0.408248290463863,0.408248290463863
MedlinePlus,0.5773502691896258,0.0,0.0,0.7071067811865475,0.5773502691896258,1.0,0.0,0.7071067811865475,1.0,0.4472135954999579,0.0,0.0,0.0
NHS 111,0.408248290463863,0.816496580927726,0.816496580927726,0.4999999999999999,0.816496580927726,0.0,0.9999999999999998,0.4999999999999999,0.0,0.6324555320336758,0.816496580927726,0.4999999999999999,0.4999999999999999
Cleveland Clinic,0.408248290463863,0.408248290463863,0.408248290463863,0.9999999999999998,0.816496580927726,0.7071067811865475,0.4999999999999999,0.9999999999999998,0.7071067811865475,0.6324555320336758,0.408248290463863,0.0,0.0
Healthline,0.5773502691896258,0.0,0.0,0.7071067811865475,0.5773502691896258,1.0,0.0,0.7071067811865475,1.0,0.4472135954999579,0.0,0.0,0.0
K Health,0.7745966692414835,0.7745966692414835,0.7745966692414835,0.6324555320336758,0.7745966692414835,0.4472135954999579,0.6324555320336758,0.6324555320336758,0.4472135954999579,0.9999999999999999,0.7745966692414835,0.6324555320336758,0.3162277660168379
Symptoma,0.6666666666666669,1.0000000000000002,1.0000000000000002,0.408248290463863,0.6666666666666669,0.0,0.816496580927726,0.408248290463863,0.0,0.7745966692414835,1.0000000000000002,0.408248290463863,0.408248290463863
Teladoc,0.408248290463863,0.408248290463863,0.408248290463863,0.0,0.408248290463863,0.0,0.4999999999999999,0.0,0.0,0.6324555320336758,0.408248290463863,0.9999999999999998,0.4999999999999999
Zocdoc,0.408248290463863,0.408248290463863,0.408248290463863,0.0,0.408248290463863,0.0,0.4999999999999999,0.0,0.0,0.3162277660168379,0.408248290463863,0.4999999999999999,0.9999999999999998
